id	acceptedname	scientificnameauthorship	taxonranken	bim_kingdom	acceptedname_corrected	scientificnameauthorship_corrected	taxonranken_corrected	bim_kingdom_corrected	remark
50	Galerina vittaeformis form. tetraspora		forma	Fungi	Galerina vittiformis f. tetraspora				
51	Galerina vittaeformis form. bispora		forma	Fungi	Galerina vittiformis f. bispora	A.H.Sm. & Singer, 1964			Galerina vittiformis f. bispora is an etherotypic synonym: 2 taxa linked to same accepted taxon. The one with author A.H.Sm. & Singer, 1964 chosen as it is linked to occurrences, while taxon with author Arnolds, 1982 has no occurrences in GBIF
111	Psathyrella microrrhiza form. pumila	Kits van Wav.	forma	Fungi	Psathyrella microrhiza f. pumila				
112	Psathyrella microrrhiza form. microrrhiza		forma	Fungi	Psathyrella microrhiza f. microrhiza				
134	Russula heterophylla form. pseudoochroleuca	Romagn.	forma	Fungi	Russula heterophylla f. pseudo-ochroleuca	Romagn., 1962			updated author from Romagn.
317	Cortinarius calochrous var. calochrous		variety	Fungi	Cortinarius callochrous var. callochrous				
363	Debaryomyces hansenii var. fabryii	(M. Ota) Nakase & M. Suzuki, 1985	variety	Fungi	Debaryomyces hansenii var. fabryi				
388	Emericella nidulans var. echinulata	(Fennell & Raper) Subram., 1955	variety	Fungi		Godeas			updated author from (Fennell & Raper) Subram., 1955
489	Hygrocybe fornicata var. streptopus	(Fr.) Fr.	variety	Fungi		(Fr.) Arnolds			updated author from (Fr.) Fr.
576	Lycoperdon perlatum var. bonordeni	(Massee) Perdeck	variety	Fungi	Lycoperdon perlatum var. bonordenii	(Massee) Perdeck, 1950			updated author from (Massee) Perdeck
629	Neosartorya fischeri var. glabra	(Fennell & Raper) Malloch & Cain	variety	Fungi		Fennell & Raper, 1973			updated author from (Fennell & Raper) Malloch & Cain
645	Paxillus panuoides var. ionipus	Quél.	variety	Fungi		(Quél.) Tkalcec & Me			updated author from Quél.
655	Peziza vesiculosa var. minor	(Sacc.) Grélet	variety	Fungi		Fr., 1822			udpate author from (Sacc.) Grélet
848	Volvariella pusilla var. taylori	(Berk.) Boekhout	variety	Fungi	Volvariella pusilla var. taylorii				
864	Teucrium chamaedrys germanicum	(F.Herm.) Rech.f.	subspecies	Plantae	Teucrium chamaedrys subsp. germanicum				Correct version does not match to GBIF. Reported to GBIF Portal: https://github.com/gbif/portal-feedback/issues/2044
887	Vicia tetrasperma gracilis	(DC.) Hook.f.	subspecies	Plantae	Vicia tetrasperma subsp. gracilis				
1081	Sagina apetala erecta	(Hornem.) F.Herm.	subspecies	Plantae	Sagina apetala subsp. erecta				
1085	Salsola kali kali	L.	subspecies	Plantae		EMPTY	variety		remove authorship and update rank
1087	Carex oederi oederi	Retz.	subspecies	Plantae	Carex oederi subsp. oederi	EMPTY			remove authorship
1105	Phleum pratense pratense	L.	subspecies	Plantae	Phleum pratense subsp. pratense				
1110	Vulpia ciliata ciliata	Dumort.	subspecies	Plantae	Vulpia ciliata subsp. ciliata				
1111	Montia fontana chondrosperma	Fenzl	subspecies	Plantae	Montia fontana subsp. chondrosperma	(Fenzl) Walters			
1117	Salix cinerea cinerea	L.	subspecies	Plantae	Salix cinerea subsp. cinerea	EMPTY			remove authorship: it is related to the species. However, such subspecies is not found in GBIF Backbone.
1311	Leptosphaeria arundinacea godini	(Desm.) Sacc.	subspecies	Fungi	Leptosphaeria arundinacea var. godinii		variety		
1312	doliolum		subspecies	Fungi	Leptosphaeria doliolum doliolum				
1316	hoehnelii		subspecies	Fungi	Phoma hoehnelii hoehnelii				
1389	Echiodon drummondi	Thompson, 1837	species	Animalia	Echiodon drummondii				
1427	Arabis hirsuta	L.	species	Plantae		(L.) Scop.			
1445	Atropa bella-donna	L.	species	Plantae	Atropa belladonna				
2136	Phylloscopus sibilatrix	(Bechstein, 1793)	species	Animalia	Phylloscopus sibillatrix				
2178	Priocnemis exaltata	(Fabricius, 1775)	species	Animalia	Priocnemis exaltatus				
